Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Exported data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Price,Price Chg%,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price chg (%),Volume chg (%),OI chg (%),Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg (%)
AMBUJACEM,4.84,435.95,440.75,435.7,440.25,4.25,0.97,0.02,0.09,39.0,0.06,0.0,0.0,10.0,0.11,50.0,0.73,40,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELONE,7.49,294.45,297.55,294.45,297.0,3.6,1.23,0.35,0.97,1.0,0.01,0.01,1.85,-52.0,-0.73,18.0,0.47,70,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,6.25,1893.0,1893.0,1882.0,1886.1,-6.3,-0.33,-0.65,-2.24,7.0,0.06,-0.01,-1.08,32.0,1.12,5.0,0.19,-27,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLOHOSP,4.61,9024.0,9043.5,9019.0,9030.5,29.5,0.33,0.41,1.9,18.0,0.12,0.02,2.86,-84.0,-1.8,6.0,0.18,90,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHOKLEY,6.97,161.22,161.8,160.24,161.37,2.14,1.34,0.82,2.58,76.0,0.26,-0.01,-0.98,55.0,0.67,-11.0,-0.13,-66,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,4.57,2780.0,2782.0,2765.0,2766.9,9.7,0.35,-0.26,-1.18,37.0,0.12,0.0,0.0,141.0,0.62,37.0,0.28,-104,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTRAL,6.4,1454.7,1454.7,1436.0,1436.0,-4.9,-0.34,0.48,1.62,10.0,0.06,0.0,0.0,4.0,0.12,-1.0,-0.04,-5,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,5.49,1039.4,1045.2,1039.4,1041.1,6.4,0.62,0.12,0.49,16.0,0.07,0.0,0.0,-7.0,-0.2,3.0,0.11,10,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUROPHARMA,6.27,1585.0,1587.0,1574.0,1586.1,7.5,0.48,0.13,0.44,15.0,0.08,0.0,0.0,25.0,0.54,2.0,0.07,-23,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,4.06,1233.0,1245.6,1233.0,1243.8,9,0.73,-0.28,-1.42,-15.0,-0.01,0.01,1.43,-400.0,-1.38,-42.0,-0.21,358,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJ-AUTO,4.62,11510.0,11520.0,11370.0,11520.0,25,0.22,1.3,6.18,26.0,0.1,-0.01,-0.68,55.0,0.43,-29.0,-0.15,-84,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,5.21,1937.0,1985.0,1936.9,1966.3,52.3,2.73,-1.72,-6.44,102.0,0.35,0.04,4.08,-165.0,-1.68,165.0,1.71,330,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,6.14,10980.0,11079.0,10960.0,11047.0,53,0.48,0.89,3.06,-1.0,-0.02,0.0,0.0,-6.0,-0.82,-4.0,-0.82,2,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,5.22,1088.2,1100.0,1085.0,1089.2,31,2.93,-3.95,-13.55,1540.0,1.72,0.02,2.2,-9.0,-0.04,457.0,2.48,466,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDHANBNK,7.25,173.4,174.38,173.1,173.46,1.22,0.71,0.38,1.12,7.0,0.02,0.0,0.0,-36.0,-0.21,5.0,0.06,41,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKBARODA,5.57,244.0,245.0,244.0,244.25,1.2,0.49,0.13,0.51,10.0,0.02,0.0,0.0,-48.0,-0.36,0.0,0.0,-,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKEX,3.26,65125.0,65125.0,65125.0,65125.0,-,-,1.92,14.62,0.0,0.0,-0.03,-2.1,0.0,0.0,3.0,2.5,-,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,6.57,138.21,138.47,138.0,138.34,0.75,0.55,1.15,3.86,-1.0,-0.01,0.01,1.2,-2.0,-0.03,11.0,0.2,13,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKNIFTY,2.75,57460.0,57562.0,57410.0,57525.0,230.4,0.4,-0.18,-1.36,-639.0,-0.9,0.0,0.0,4164.0,1.14,3109.0,0.96,-1055,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDL,8.46,1223.7,1232.5,1223.7,1230.5,9.5,0.78,2.26,5.78,0.0,0.0,-0.01,-1.15,14.0,0.27,-9.0,-0.2,-23,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,4.88,387.8,390.0,387.5,389.6,2.65,0.68,0.46,2.01,12.0,0.02,0.01,1.75,-199.0,-0.5,11.0,0.05,210,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,7.26,2177.0,2210.2,2177.0,2205.1,31.4,1.44,0.21,0.67,33.0,0.22,0.01,1.08,-31.0,-1.0,0.0,0.0,-,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARTIARTL,4.05,1966.2,1970.6,1961.5,1963.0,1.2,0.06,-0.01,-0.05,9.0,0.01,0.01,1.32,-74.0,-0.5,15.0,0.13,89,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHEL,6.79,408.8,414.4,408.4,412.4,7.25,1.79,-0.01,-0.03,-70.0,-0.23,0.0,0.0,-7.0,-0.06,26.0,0.42,33,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOCON,6.28,427.25,427.9,426.0,427.45,0.45,0.11,0.12,0.4,8.0,0.04,0.0,0.0,-5.0,-0.1,0.0,0.0,-,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUESTARCO,7.34,1700.0,1707.8,1688.5,1707.8,7.7,0.45,0.18,0.53,5.0,0.05,0.0,0.0,2.0,0.21,-4.0,-0.37,-6,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,6.22,41490.0,41600.0,41065.0,41555.0,115,0.28,0.01,0.03,4.0,0.05,-0.01,-0.69,6.0,0.29,3.0,0.1,-3,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPCL,5.56,319.85,319.85,317.55,318.2,0.7,0.22,0.27,1.02,18.0,0.09,0.0,0.0,6.0,0.14,-3.0,-0.09,-9,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITANNIA,5.45,5430.0,5456.0,5417.0,5425.0,-22,-0.4,0.22,0.86,9.0,0.06,0.0,0.0,-39.0,-0.68,-20.0,-0.64,19,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSE,8.23,3539.0,3560.0,3529.0,3541.0,2.1,0.06,0.36,0.93,45.0,0.11,-0.01,-1.22,168.0,0.8,-34.0,-0.2,-202,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS,7.61,791.6,791.6,791.3,791.6,-3.65,-0.46,0.65,1.88,0.0,0.0,0.0,0.0,13.0,0.52,5.0,0.3,-8,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,6.08,125.5,126.02,125.29,125.71,0.79,0.63,0.29,1.01,13.0,0.02,0.0,0.0,-3.0,-0.02,7.0,0.08,10,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDSL,7.15,1345.9,1346.9,1342.0,1346.0,4.5,0.34,0.26,0.78,16.0,0.08,0.0,0.0,37.0,0.4,1.0,0.01,-36,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGPOWER,7.1,855.0,873.7,852.05,872.5,35.05,4.19,2.21,7.18,341.0,1.5,0.04,9.09,-434.0,-4.22,277.0,6.17,711,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,6.1,1790.0,1815.2,1787.7,1804.9,26,1.46,0.88,3.01,-6.0,-0.03,0.01,1.82,-127.0,-2.51,11.0,0.4,138,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,4.0,1475.1,1482.6,1473.3,1478.4,5.3,0.36,-0.71,-3.64,19.0,0.08,0.0,0.0,-8.0,-0.09,-2.0,-0.03,6,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,4.23,414.0,415.95,413.05,413.85,-0.15,-0.04,0.06,0.3,-49.0,-0.08,0.0,0.0,-36.0,-0.18,-8.0,-0.05,28,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,6.28,1411.9,1411.9,1407.0,1411.7,4.7,0.33,0.69,2.38,3.0,0.02,0.0,0.0,19.0,0.57,-5.0,-0.22,-24,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COFORGE,7.19,1700.0,1719.6,1691.1,1714.9,-29.4,-1.69,1.16,3.48,305.0,1.04,-0.02,-2.04,42.0,0.31,-191.0,-1.42,-233,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,4.72,2101.9,2101.9,2084.6,2094.6,3.9,0.19,0.33,1.49,31.0,0.18,0.0,0.0,147.0,1.77,38.0,0.91,-109,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCOR,5.01,523.0,525.8,523.0,525.1,0.05,0.01,-0.13,-0.55,-1.0,-0.01,0.0,0.0,1.0,0.03,0.0,0.0,-,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROMPTON,7.9,262.8,263.6,262.55,262.8,1.25,0.48,0.38,1.01,3.0,0.01,0.0,0.0,34.0,0.67,16.0,0.59,-18,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMMINSIND,7.44,5494.0,5559.5,5480.0,5542.0,128,2.36,2.04,6.2,18.0,0.09,0.08,9.88,-263.0,-8.7,7.0,0.28,270,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,4.79,429.35,429.9,426.7,427.2,-0.8,-0.19,-0.15,-0.66,9.0,0.04,0.01,1.54,-14.0,-0.13,20.0,0.29,34,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALBHARAT,5.62,1811.1,1811.1,1811.0,1811.0,11.3,0.63,-1.88,-7.23,0.0,0.0,0.01,1.09,-3.0,-0.27,8.0,0.77,11,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELHIVERY,6.92,470.9,471.4,470.1,471.4,2.05,0.44,0.38,1.15,3.0,0.03,0.0,0.0,-11.0,-0.24,2.0,0.06,13,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVISLAB,6.66,7878.0,8108.5,7878.0,8078.5,220,2.8,2.16,7.31,299.0,0.85,0.01,1.32,300.0,2.94,318.0,4.09,18,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIXON,8.48,14239.0,14239.0,14141.0,14201.0,52,0.37,0.52,1.31,33.0,0.07,0.0,0.0,110.0,0.61,38.0,0.27,-72,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,7.09,659.3,662.1,658.0,661.25,3.5,0.53,0.6,1.77,5.0,0.01,0.0,0.0,42.0,0.56,-5.0,-0.09,-47,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMART,5.65,3925.0,3934.0,3884.8,3925.6,44.2,1.14,1.38,5.99,62.0,0.18,0.01,1.52,-120.0,-1.0,36.0,0.45,156,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,4.25,1150.1,1156.9,1149.1,1152.4,3.2,0.28,-0.4,-2,16.0,0.07,0.0,0.0,2.0,0.01,13.0,0.12,11,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,4.99,7871.0,7912.0,7820.0,7865.0,-4.5,-0.06,-0.34,-1.43,12.0,0.03,0.01,1.32,-537.0,-2.48,-13.0,-0.08,524,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETERNAL,6.75,314.0,316.85,308.5,309.4,-2.9,-0.93,0.21,0.67,281.0,0.44,0.01,1.39,34.0,0.18,79.0,0.57,45,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERALBNK,4.33,355.9,356.35,354.65,355.35,0.5,0.14,0.12,0.59,12.0,0.03,0.0,0.0,15.0,0.27,19.0,0.39,4,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINNIFTY,2.83,26406.8,26550.0,26406.8,26534.2,193.4,0.73,-0.6,-4.01,2.0,0.41,0.06,7.14,-114.0,-6.43,9.0,0.6,123,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOCIT,5.06,37350.0,37350.0,37350.0,37350.0,-105,-0.28,7.64,33.72,1.0,7.14,-0.02,-2.9,4.0,1.68,1.0,0.61,-3,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORCEMOT,9.09,17800.0,17890.0,17718.0,17867.0,173,0.98,-0.82,-1.96,5.0,0.05,-0.01,-1.23,10.0,0.18,1.0,0.02,-9,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORTIS,5.55,957.95,957.95,953.6,957.1,3.55,0.37,0.04,0.16,-3.0,-0.03,0.0,0.0,7.0,0.59,3.0,0.29,-4,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAIL,5.93,175.99,175.99,174.64,175.18,0.54,0.31,0.26,0.93,21.0,0.09,0.0,0.0,8.0,0.13,-1.0,-0.02,-9,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENMARK,7.54,2210.0,2242.0,2210.0,2237.2,38.3,1.74,1.19,3.74,9.0,0.03,0.01,1.05,-22.0,-0.74,7.0,0.25,29,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMRAIRPORT,6.61,105.0,105.28,104.5,104.96,0.74,0.71,-0.71,-2.23,22.0,0.12,0.0,0.0,-11.0,-0.26,2.0,0.05,13,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODFRYPHLP,7.98,2136.0,2169.9,2121.1,2169.9,58.7,2.78,-1.77,-5.65,-26.0,-0.39,0.01,1.41,-52.0,-1.69,11.0,0.51,63,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,5.75,1074.0,1074.0,1065.3,1067.2,-6.3,-0.59,-2.53,-9.4,9.0,0.04,0.0,0.0,0.0,0.0,-2.0,-0.2,-,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
